Carotte,Bonduel,Légume orange riche en protéines,"1,00",Légume
Poireau,Géant Vert,Légume vert plein de fibre,"1,20",Légume
Citrouille,Cascina Belvedere,Légume orange parfait pour les fêtes d'Halloween,"1,95",Légume
Brie,Président,Fromage de caractère au lait de vache,"16,50",Produit laitier
Comté,Entremont,Fromage au lait cru,"15,05",Produit laitier
Lait,Candia,Produit laitier semi-écrémé,"0,70",Produit laitier
Bière,Chouffe,Boisson alcoolisée à base d'orge et d'houblon,"3,78",Boisson
Eau,Evian,Eau de source,"0,57",Boisson
Coca,Coca cola,Boisson gazeuse sucrée,"1,10",Boisson
Javel,Monsieur Propre,Solution liquide oxydante désinfectante et décolorante,"7,92",Produit entretien
Lave vitre,Kärcher,Solution nettoyante spéciale fenêtre,"3,71",Produit entretien
Liquide vaisselle,Paic,Liquide vaisselle super dégraissant,"9,23",Produit entretien
Parfum,Channel,Fragrance délicate et boisée,"56,48",Cosmétique
Rouge à lèvre,Velvet,Produit de cosmétique permettant de souligner les lèvres,"34,50",Cosmétique
Fond de teint,Maybelline,Produit cosmétique permettant d'unifier et de protéger l'épiderme,"28,90",Cosmétique
Television HD,Samsung,Poste de télévision permettant l'emission et la reception de séquences audiovisuelles,"299,99",High-tech
Smartphone,Sony,GSM nouvelle génération,"149,90",High-tech
Rasoir éléctrique,Phillips,Rasoir performant et plus ergonomique pour un meilleur rasage de la moustache,"72,04",High-tech
Carotte,Grand Frais,Légume orange riche en protéines,"1,20",Légume
Poireau,Cassegrin,Légume vert plein de fibre,"1,04",Légume
Citrouille,Nos régions ont du talent,Légume orange parfait pour les fêtes d'Halloween,"2,25",Légume
Brie,Coeur de lion,Fromage de caractère au lait de vache,"14,99",Produit laitier
Comté,Juraflore,Fromage au lait cru,"12,50",Produit laitier
Lait,Lactel,Produit laitier semi-écrémé,"0,98",Produit laitier
Bière,Kronenbourg,Boisson alcoolisée à base d'orge et d'houblon,"1,25",Boisson
Eau,Vittel,Eau de source,"0,48",Boisson
Coca,Pepsi,Boisson gazeuse sucrée,"1,02",Boisson
Javel,Saint Marc,Solution liquide oxydante désinfectante et décolorante,"6,54",Produit entretien
Lave vitre,Ecovacs,Solution nettoyante spéciale fenêtre,"2,60",Produit entretien
Liquide vaisselle,Mir,Liquide vaisselle super dégraissant,"12,60",Produit entretien
Parfum,Dior,Fragrance délicate et boisée,"46,38",Cosmétique
Rouge à lèvre,L'Oreal,Produit de cosmétique permettant de souligner les lèvres,"41,20",Cosmétique
Fond de teint,Bourjois,Produit cosmétique permettant d'unifier et de protéger l'épiderme,"32,50",Cosmétique
Television HD,LG,Poste de télévision permettant l'emission et la reception de séquences audiovisuelles,"199,90",High-tech
Smartphone,Apple,GSM nouvelle génération,"780,00",High-tech
Rasoir éléctrique,Wilkinson,Rasoir performant et plus ergonomique pour un meilleur rasage de la moustache,"68,22",High-tech
Petits pois,Bonduel,Le must des petits pois,"1,60",Légume
Pommes de terre,Géant Vert,"Des patates, toujours des patates","1,30",Légume
Artichaux,Cascina Belvedere,Superbe pièce murit à souhait,"2,00",Légume
Petits pois,Cascina Belvedere,Le must des petits pois,"1,50",Légume
Pommes de terre,Géant Vert,"Des patates, toujours des patates","1,10",Légume
Artichaux,Cascina Belvedere,Superbe pièce murit à souhait,"1,20",Légume
Tomates,Bonduel,Bien ronde et bien rouge,"1,20",Légume
Brocolis,Géant Vert,Beau brocolis vert,"2,00",Légume
Haricots Verts,Cascina Belvedere,Haricots vert made in France,"1,80",Légume
Tomates,Cascina Belvedere,Bien ronde et bien rouge,"1,80",Légume
Brocolis,Géant Vert,Beau brocolis vert,"1,30",Légume
Haricots Verts,Cascina Belvedere,Haricots vert made in France,"1,90",Légume
Choux fleur,Géant Vert,Choux fleur de nos régions,"1,50",Légume
Choux de bruxelles,Géant Vert,Choux belges plusieurs fois primés,"1,10",Légume
Flageolets,Cascina Belvedere,Flageolets bien ferme et de taille suffisante,"1,10",Légume
Choux fleur,Cascina Belvedere,Choux fleur de nos régions,"1,90",Légume
Choux de bruxelles,Géant Vert,Choux belges plusieurs fois primés,"1,20",Légume
Flageolets,Cascina Belvedere,Flageolets bien ferme et de taille suffisante,"1,50",Légume
Emmentale,Président,Emmentale de montagne,"2,30",Produit laitier
Brie,Entremont,Brie de nos régions,"2,20",Produit laitier
Lait chocolat en brique,Candia,Idéal pour le goûter,"2,10",Produit laitier
Crème fraiche,Président,Idéale pour la cuisine,"2,90",Produit laitier
Fromage en portion,Entremont,Petites portions à emmener partout,"3,00",Produit laitier
Gruyère,Candia,Gruyère à déguster ou à ajouter dans vos plats,"2,80",Produit laitier
Fromage à raclette,Président,Idéal pour une raclette en famille ou amis,"2,20",Produit laitier
Fromage à tartiner,Entremont,Fromage à tartiner idéal pour l'apéro,"2,40",Produit laitier
Emmentale,Candia,Emmentale de montagne,"2,10",Produit laitier
Brie,Entremont,Brie de nos régions,"2,90",Produit laitier
Lait chocolat en brique,Candia,Idéal pour le goûter,"2,70",Produit laitier
Crème fraiche,Président,Idéale pour la cuisine,"2,50",Produit laitier
Fromage en portion,Entremont,Petites portions à emmener partout,"2,10",Produit laitier
Gruyère,Entremont,Gruyère à déguster ou à ajouter dans vos plats,"2,50",Produit laitier
Fromage à raclette,Président,Idéal pour une raclette en famille ou amis,"2,70",Produit laitier
Fromage à tartiner,Candia,Fromage à tartiner idéal pour l'apéro,"2,20",Produit laitier
Fondue,Candia,Fondue savoyarde,"2,50",Produit laitier
Lait de chèvre,Candia,Pour ceux qui aiment le chèvre,"2,80",Produit laitier
Fondue,Entremont,Fondue savoyarde,"2,10",Produit laitier
Lait de chèvre,Entremont,Pour ceux qui aiment le chèvre,"2,50",Produit laitier
Eau de vie,Arthurus,Le meilleur pour les fin de soirée,"2,50",Boisson
Mirabelle,Moureyus,Idéal pour donner un peu de goût à vos repas,"2,10",Boisson
Calva,Alcolus,"Pour les hommes, les vrais","2,10",Boisson
Marc,PuRienBus,Marc mûrit en fût pendant 7 mois,"2,60",Boisson
Whisky,Jack Daniels,"Le seul, l'unique","2,50",Boisson
Vin,Veuve cliquot,Vin de grande qualité,"3,00",Boisson
Snaps,Deutshus,Artoung ça décoiffe,"2,60",Boisson
Jus de raisin,Materne,Jus de raisin 100% pur fruit,"2,20",Boisson
Jus de pomme,Normalus,Pommes issue de l'agriculture biologique,"2,30",Boisson
Eau de vie,Asbach,Le meilleur pour les fin de soirée,"2,20",Boisson
Mirabelle,Adam,Idéal pour donner un peu de goût à vos repas,"2,10",Boisson
Calva,Deutshus,"Pour les hommes, les vrais","2,80",Boisson
Marc,Alcolus,Marc mûrit en fût pendant 7 mois,"2,10",Boisson
Whisky,Shivas,"Le seul, l'unique","2,10",Boisson
Vin,Saint Émilion,Vin de grande qualité,"2,50",Boisson
Snaps,Moureyus,Artoung ça décoiffe,"2,30",Boisson
Jus de raisin,Normalus,Jus de raisin 100% pur fruit,"2,60",Boisson
Jus de pomme,Materne,Pommes issue de l'agriculture biologique,"2,40",Boisson
Déodorisant WC,Monsieur Propre,Idéal pour sentir bon où ça ne sent pas bon,"3,40",Produit entretien
Nettoyant WC,Kärcher,Nettoyage suprême des zones de guerres,"3,80",Produit entretien
Eponge,Paic,A utiliser avec de l'huile de coude,"3,90",Produit entretien
Nettoyant sol,Monsieur Propre,Mettre un bouchon dans 5 litres d'eau,"3,90",Produit entretien
Déboucheur canalisation,Kärcher,Idéal pour le transit de vos canalisations. Ne pas ingérer,"3,90",Produit entretien
Chiffon vitre,Paic,Ne fonctionne pas avec les écrans d'ordinateur,"4,00",Produit entretien
Bombe dépoussiérante,Monsieur Propre,Idéal pour dépoussiérer,"3,40",Produit entretien
Balai,Kärcher,"Ne sert pas à voler, mais à nettoyer","3,70",Produit entretien
Serpillère,Paic,Serpillère 100% pure coton,"4,00",Produit entretien
Déodorisant WC,Kärcher,Idéal pour sentir bon où ça ne sent pas bon,"3,50",Produit entretien
Nettoyant WC,Paic,Nettoyage suprême des zones de guerres,"3,40",Produit entretien
Eponge,Monsieur Propre,A utiliser avec de l'huile de coude,"3,70",Produit entretien
Nettoyant sol,Kärcher,Mettre un bouchon dans 5 litres d'eau,"3,50",Produit entretien
Déboucheur canalisation,Paic,Idéal pour le transit de vos canalisations. Ne pas ingérer,"3,20",Produit entretien
Chiffon vitre,Monsieur Propre,Ne fonctionne pas avec les écrans d'ordinateur,"3,70",Produit entretien
Bombe dépoussiérante,Kärcher,Idéal pour dépoussiérer,"3,10",Produit entretien
Balai,Paic,"Ne sert pas à voler, mais à nettoyer","3,10",Produit entretien
Serpillère,Monsieur Propre,Serpillère 100% pure coton,"3,80",Produit entretien
Poudre BB,Channel,Poudre pour jouer au ninja dans un nuage de fumé,"67,60",Cosmétique
Eye liner,Velvet,Pour des maquillages réussis,"162,10",Cosmétique
Mascarat waterproof,Maybelline,Ne résiste pas à la piscine,"185,90",Cosmétique
Gloss,Channel,Pour augmenter la taille de vos lèvres,"42,00",Cosmétique
Phare à paupière,Velvet,Ne sert pas à attirer les bateaux,"111,90",Cosmétique
Pince à épiler,Maybelline,Sert également à tirer les vers du nez,"98,10",Cosmétique
Bande de cire,Channel,100% avec douleurs,"171,20",Cosmétique
Coton tige,Velvet,100% pure fibre de coton,"43,20",Cosmétique
Crème hydrante,Maybelline,Hydrate la peau en profondeur,"155,40",Cosmétique
Eau miscellaire,Channel,Idéal pour se démaquiller,"192,90",Cosmétique
Anti cernes,Velvet,Pour les lendemains de soirée,"58,50",Cosmétique
Poudre BB,Channel,Poudre pour jouer au ninja dans un nuage de fumé,"134,30",Cosmétique
Eye liner,Velvet,Pour des maquillages réussis,"10,30",Cosmétique
Mascarat waterproof,Maybelline,Ne résiste pas à la piscine,"96,80",Cosmétique
Gloss,Channel,Pour augmenter la taille de vos lèvres,"173,70",Cosmétique
Phare à paupière,Velvet,Ne sert pas à attirer les bateaux,"153,40",Cosmétique
Pince à épiler,Maybelline,Sert également à tirer les vers du nez,"193,80",Cosmétique
Bande de cire,Channel,100% avec douleurs,"74,60",Cosmétique
Coton tige,Velvet,100% pure fibre de coton,"193,00",Cosmétique
Crème hydrante,Maybelline,Hydrate la peau en profondeur,"160,20",Cosmétique
Eau miscellaire,Channel,Idéal pour se démaquiller,"170,40",Cosmétique
Anti cernes,Maybelline,Pour les lendemains de soirée,"80,40",Cosmétique
Four à microonde,Samsung,Four à microonde haut de gamme,"166,70",High-tech
Aspirateur,Sony,Aspirateur sans fil et sans sac,"193,00",High-tech
Grille pain,Phillips,Idéal pour vos tartines du matin,"148,70",High-tech
Ordinateur,Samsung,Ordinateur top moumoute plus,"119,50",High-tech
Tablette,Sony,Tablette idéal pour vos envies de mobilité,"132,60",High-tech
Chaine HiFI,Phillips,Chaine HiFi avec son HD,"34,90",High-tech
Radio,Samsung,Capter toutes vos radios préférées,"76,60",High-tech
Ecran PC,Sony,Ecran 15 pouces LED,"160,90",High-tech
Four à microonde,Sony,Four à microonde haut de gamme,"118,10",High-tech
Aspirateur,Phillips,Aspirateur sans fil et sans sac,"199,90",High-tech
Grille pain,Samsung,Idéal pour vos tartines du matin,"167,80",High-tech
Ordinateur,Sony,Ordinateur top moumoute plus,"64,80",High-tech
Tablette,Phillips,Tablette idéal pour vos envies de mobilité,"196,30",High-tech
Chaine HiFI,Samsung,Chaine HiFi avec son HD,"41,60",High-tech
Radio,Sony,Capter toutes vos radios préférées,"62,50",High-tech
Ecran PC,Phillips,Ecran 15 pouces LED,"125,20",High-tech
Montre connectée,Apple,Montre connectée répondant à tous vos besoins,"63,10",High-tech
